22:16:05.795 | INFO  |                             HorseService: Insert Horse with following data: Name: Don, Breed: American, min. Speed: 45.0max. Speed: 55.3
22:16:05.795 | INFO  |                                 HorseDao: Insert horse
22:16:05.796 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.796 | INFO  |                      DBConnectionManager: Establish database connection
22:16:05.802 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:05.802 | INFO  |                            JockeyService: Insert jockey with following data: Name: Marco, Skill: 0.0
22:16:05.803 | INFO  |                                JockeyDao: Insert Jockey
22:16:05.803 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.804 | INFO  |                             HorseService: Validate data of horse to be inserted
22:16:05.804 | INFO  |                             HorseService: Insert Horse with following data: Name: Dragon, Breed: Arabian, min. Speed: 48.21max. Speed: 52.33
22:16:05.807 | INFO  |                                 HorseDao: Insert horse
22:16:05.808 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.810 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:05.810 | INFO  |                            JockeyService: Insert jockey with following data: Name: Eric, Skill: 0.0
22:16:05.810 | INFO  |                                JockeyDao: Insert Jockey
22:16:05.810 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.812 | INFO  |                             HorseService: Validate data of horse to be inserted
22:16:05.812 | INFO  |                             HorseService: Insert Horse with following data: Name: Bullet, Breed: Arabian, min. Speed: 40.0max. Speed: 60.0
22:16:05.812 | INFO  |                                 HorseDao: Insert horse
22:16:05.812 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.813 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:05.813 | INFO  |                            JockeyService: Insert jockey with following data: Name: Marco, Skill: 0.0
22:16:05.814 | INFO  |                                JockeyDao: Insert Jockey
22:16:05.817 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.818 | INFO  |                        SimulationService: Post Simulation with name: SimulationTest and participants: [{Horse ID: 1, Jockey ID: 1, Luck factor: 1.02}, {Horse ID: 2, Jockey ID: 2, Luck factor: 1.01}, {Horse ID: 3, Jockey ID: 3, Luck factor: 1.0}]
22:16:05.818 | INFO  |                        SimulationService: Validate data of simulation to be inserted
22:16:05.818 | INFO  |                        SimulationService: Prepare Simulation and calculate values based on horse speed, luck and skill
22:16:05.819 | INFO  |                                 HorseDao: Get correct version of participant horses
22:16:05.820 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.827 | INFO  |                                JockeyDao: Get correct version of participant jockeys
22:16:05.828 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.834 | INFO  |                        SimulationService: Insert simulation with following data: Name: SimulationTest, Participants: [{Horse ID: 1, Jockey ID: 1, Luck factor: 1.02}, {Horse ID: 2, Jockey ID: 2, Luck factor: 1.01}, {Horse ID: 3, Jockey ID: 3, Luck factor: 1.0}]
22:16:05.834 | INFO  |                               Simulation: Insert Simulation
22:16:05.834 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.836 | INFO  |                        SimulationService: Simulation data calculated and sorted by highest average Speed
22:16:05.841 | INFO  |                        SimulationService: Set rank of participants
22:16:05.841 | INFO  |                      DBConnectionManager: Close database connection
22:16:05.846 | INFO  |                        SimulationService: Post Simulation with name: Simulation 1 and participants: [{Horse ID: 1, Jockey ID: 1, Luck factor: 1.06}]
22:16:05.846 | INFO  |                        SimulationService: Validate data of simulation to be inserted
22:16:05.848 | ERROR |                        SimulationService: Luck factor of participant out of range.
22:16:05.849 | INFO  |                      DBConnectionManager: Close database connection
22:16:05.946 | INFO  |                   SimulationEndpointTest: Starting SimulationEndpointTest on Ajayvirs-MacBook-Pro.local with PID 75694 (started by ajayvirsingh in /Users/ajayvirsingh/Desktop/4Semester/SEPM PR/Einzelphase/Project/sepm-individual-assignment)
22:16:05.946 | DEBUG |                   SimulationEndpointTest: Running with Spring Boot v2.1.2.RELEASE, Spring v5.1.4.RELEASE
22:16:05.946 | INFO  |                   SimulationEndpointTest: The following profiles are active: test
22:16:06.827 | DEBUG |                            HorseEndpoint: Defined Endpoint
22:16:06.833 | DEBUG |                           JockeyEndpoint: Defined Endpoint
22:16:06.839 | INFO  |                       SimulationEndpoint: Defined Endpoint
22:16:07.108 | INFO  |                   SimulationEndpointTest: Started SimulationEndpointTest in 1.212 seconds (JVM running for 11.077)
22:16:07.366 | INFO  |                            HorseEndpoint: POST /api/v1/horses, Horse: HorseDto{id=null, name='Horse1', breed='null', minSpeed=45.2, maxSpeed=60.0, created=null, updated=null}
22:16:07.367 | INFO  |                             HorseService: Validate data of horse to be inserted
22:16:07.367 | INFO  |                             HorseService: Insert Horse with following data: Name: Horse1, min. Speed: 45.2max. Speed: 60.0
22:16:07.368 | INFO  |                                 HorseDao: Insert horse
22:16:07.368 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.368 | INFO  |                      DBConnectionManager: Establish database connection
22:16:07.407 | INFO  |                            HorseEndpoint: POST /api/v1/horses, Horse: HorseDto{id=null, name='Horse2', breed='null', minSpeed=49.6, maxSpeed=50.0, created=null, updated=null}
22:16:07.407 | INFO  |                             HorseService: Validate data of horse to be inserted
22:16:07.407 | INFO  |                             HorseService: Insert Horse with following data: Name: Horse2, min. Speed: 49.6max. Speed: 50.0
22:16:07.407 | INFO  |                                 HorseDao: Insert horse
22:16:07.407 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.418 | INFO  |                            HorseEndpoint: POST /api/v1/horses, Horse: HorseDto{id=null, name='Horse3', breed='null', minSpeed=55.55, maxSpeed=59.99, created=null, updated=null}
22:16:07.418 | INFO  |                             HorseService: Validate data of horse to be inserted
22:16:07.418 | INFO  |                             HorseService: Insert Horse with following data: Name: Horse3, min. Speed: 55.55max. Speed: 59.99
22:16:07.418 | INFO  |                                 HorseDao: Insert horse
22:16:07.418 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.439 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey1', skill=30.5, created=null, updated=null}
22:16:07.439 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.439 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey1, Skill: 30.5
22:16:07.439 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.439 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.447 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey2', skill=0.0, created=null, updated=null}
22:16:07.447 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.447 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey2, Skill: 0.0
22:16:07.448 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.448 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.454 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey3', skill=503.1234, created=null, updated=null}
22:16:07.454 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.454 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey3, Skill: 503.1234
22:16:07.454 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.455 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.456 | INFO  |                       SimulationEndpoint: POST simulation: /api/v1/simulations
22:16:07.457 | INFO  |                        SimulationService: Post Simulation with name: Simulation 1 and participants: [{Horse ID: 1, Jockey ID: 1, Luck factor: 1.0}, {Horse ID: 2, Jockey ID: 2, Luck factor: 0.95}, {Horse ID: 3, Jockey ID: 1, Luck factor: 1.05}]
22:16:07.457 | INFO  |                        SimulationService: Validate data of simulation to be inserted
22:16:07.457 | ERROR |                        SimulationService: Duplicate jockey found.
22:16:07.478 | INFO  |                            HorseEndpoint: POST /api/v1/horses, Horse: HorseDto{id=null, name=' ', breed='Breed1', minSpeed=45.0, maxSpeed=55.0, created=null, updated=null}
22:16:07.478 | INFO  |                             HorseService: Validate data of horse to be inserted
22:16:07.478 | ERROR |                             HorseService: Name is not set.
22:16:07.504 | INFO  |                      DBConnectionManager: Close database connection
22:16:07.510 | INFO  |                            HorseEndpoint: POST /api/v1/horses, Horse: HorseDto{id=null, name='Horse2', breed='Breed2', minSpeed=40.0, maxSpeed=60.0, created=null, updated=null}
22:16:07.510 | INFO  |                             HorseService: Validate data of horse to be inserted
22:16:07.510 | INFO  |                             HorseService: Insert Horse with following data: Name: Horse2, Breed: Breed2, min. Speed: 40.0max. Speed: 60.0
22:16:07.510 | INFO  |                                 HorseDao: Insert horse
22:16:07.510 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.510 | INFO  |                      DBConnectionManager: Establish database connection
22:16:07.521 | INFO  |                            HorseEndpoint: PUT /api/v1/horses, Horse: , min. Speed: 50.0
22:16:07.522 | INFO  |                             HorseService: Validate of horse to be updated
22:16:07.522 | INFO  |                             HorseService: Update horse with id 1
22:16:07.522 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.522 | INFO  |                                 HorseDao: Update horse with id 1
22:16:07.523 | INFO  |                                 HorseDao: Get horse with id 1
22:16:07.523 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.524 | INFO  |                                 HorseDao: Insert into horsehistory with 1
22:16:07.528 | INFO  |                                 HorseDao: Get horse with id 1
22:16:07.528 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.528 | INFO  |                      DBConnectionManager: Close database connection
22:16:07.546 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey1', skill=50.0, created=null, updated=null}
22:16:07.546 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.546 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey1, Skill: 50.0
22:16:07.546 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.546 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.546 | INFO  |                      DBConnectionManager: Establish database connection
22:16:07.554 | INFO  |                           JockeyEndpoint: DELETE /api/v1/jockeys/1
22:16:07.554 | INFO  |                            JockeyService: Delete jockey with id 1
22:16:07.554 | INFO  |                                JockeyDao: Delete jockey with id 1
22:16:07.554 | INFO  |                                JockeyDao: Get jockey with id 1
22:16:07.554 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.555 | INFO  |                                JockeyDao: Check if jockey with id 1 exists: insert into jockeyhistory if no, else do nothing
22:16:07.555 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.556 | INFO  |                                JockeyDao: Insert into jockeyHistory with 1
22:16:07.556 | INFO  |                      DBConnectionManager: Get database connection
